id,anchorID,tagID,sequenceID,pan,processed_flag,timestampToA,Timestamp ToA
1,ANCH0001,TAG00001,0,0,1,7.28E+11,7.2848E+11
2,ANCH0004,TAG00001,0,0,1,7.28E+11,7.2848E+11
3,ANCH0002,TAG00001,0,0,1,7.28E+11,7.2848E+11
4,ANCH0003,TAG00001,0,0,1,7.28E+11,7.2848E+11
5,ANCH0001,TAG00001,1,0,1,7.59E+11,7.59054E+11
6,ANCH0004,TAG00001,1,0,1,7.59E+11,7.59054E+11
7,ANCH0002,TAG00001,1,0,1,7.59E+11,7.59054E+11
8,ANCH0003,TAG00001,1,0,1,7.59E+11,7.59054E+11
9,ANCH0001,TAG00001,2,0,1,7.74E+11,7.73513E+11
10,ANCH0002,TAG00001,2,0,1,7.74E+11,7.73513E+11
11,ANCH0001,TAG00001,3,0,1,7.94E+11,7.94137E+11
12,ANCH0003,TAG00001,2,0,1,7.74E+11,7.73513E+11
13,ANCH0001,TAG00001,4,0,1,8.10E+11,8.09604E+11
14,ANCH0004,TAG00001,2,0,1,7.74E+11,7.73513E+11
15,ANCH0004,TAG00001,3,0,1,7.94E+11,7.94137E+11
16,ANCH0004,TAG00001,4,0,1,8.10E+11,8.09604E+11
17,ANCH0001,TAG00001,5,0,1,8.20E+11,8.19914E+11
18,ANCH0004,TAG00001,5,0,1,8.20E+11,8.19914E+11
19,ANCH0002,TAG00001,3,0,1,7.94E+11,7.94137E+11
20,ANCH0002,TAG00001,4,0,1,8.10E+11,8.09604E+11
21,ANCH0002,TAG00001,5,0,1,8.20E+11,8.19914E+11
22,ANCH0003,TAG00001,4,0,1,8.10E+11,8.09604E+11
23,ANCH0003,TAG00001,5,0,1,8.20E+11,8.19914E+11
24,ANCH0004,TAG00001,6,0,1,8.52E+11,8.51885E+11
25,ANCH0002,TAG00001,6,0,1,8.52E+11,8.51885E+11
26,ANCH0003,TAG00001,6,0,1,8.52E+11,8.51885E+11
27,ANCH0002,TAG00001,7,0,1,8.83E+11,8.82659E+11
28,ANCH0002,TAG00001,8,0,1,8.97E+11,8.97254E+11
29,ANCH0003,TAG00001,7,0,1,8.83E+11,8.82659E+11
30,ANCH0004,TAG00001,7,0,1,8.83E+11,8.82659E+11
31,ANCH0003,TAG00001,8,0,1,8.97E+11,8.97254E+11
32,ANCH0004,TAG00001,8,0,1,8.97E+11,8.97254E+11
33,ANCH0001,TAG00001,9,0,1,9.13E+11,9.12724E+11
34,ANCH0004,TAG00001,9,0,1,9.13E+11,9.12724E+11
35,ANCH0002,TAG00001,9,0,1,9.13E+11,9.12724E+11
36,ANCH0003,TAG00001,9,0,1,9.13E+11,9.12724E+11
37,ANCH0003,TAG00001,10,0,1,9.44E+11,9.44422E+11
38,ANCH0004,TAG00001,10,0,1,9.44E+11,9.44422E+11
39,ANCH0002,TAG00001,10,0,1,9.44E+11,9.44422E+11
40,ANCH0004,TAG00001,11,0,1,9.75E+11,9.75477E+11
41,ANCH0002,TAG00001,11,0,1,9.75E+11,9.75477E+11
42,ANCH0001,TAG00001,12,0,1,1.01E+12,1.00593E+12
43,ANCH0002,TAG00001,12,0,1,1.01E+12,1.00593E+12
44,ANCH0003,TAG00001,12,0,1,1.01E+12,1.00593E+12
45,ANCH0004,TAG00001,12,0,1,1.01E+12,1.00593E+12
46,ANCH0002,TAG00001,13,0,1,1.04E+12,1.03699E+12
47,ANCH0004,TAG00001,13,0,1,1.04E+12,1.03699E+12
48,ANCH0003,TAG00001,13,0,1,1.04E+12,1.03699E+12
49,ANCH0001,TAG00001,14,0,1,1.07E+12,1.06744E+12
50,ANCH0003,TAG00001,14,0,1,1.07E+12,1.06744E+12
51,ANCH0004,TAG00001,14,0,1,1.07E+12,1.06744E+12
52,ANCH0002,TAG00001,14,0,1,1.07E+12,1.06744E+12
53,ANCH0001,TAG00001,15,0,1,1.10E+12,1.09942E+12
54,ANCH0004,TAG00001,15,0,1,9.22E+18,9.22337E+18
55,ANCH0003,TAG00001,15,0,1,9.22E+18,9.22337E+18
56,ANCH0002,TAG00001,15,0,1,9.22E+18,9.22337E+18
57,ANCH0001,TAG00001,16,0,1,60107040940,60107040940
58,ANCH0003,TAG00001,16,0,1,60107040387,60107040387
59,ANCH0004,TAG00001,16,0,1,60107040666,60107040666
60,ANCH0002,TAG00001,16,0,1,60107040230,60107040230
61,ANCH0001,TAG00001,17,0,1,1.23E+11,1.23367E+11
62,ANCH0002,TAG00001,17,0,1,1.23E+11,1.23367E+11
63,ANCH0004,TAG00001,17,0,1,1.23E+11,1.23367E+11
64,ANCH0001,TAG00001,18,0,1,1.38E+11,1.38057E+11
65,ANCH0004,TAG00001,18,0,1,1.38E+11,1.38057E+11
66,ANCH0002,TAG00001,18,0,1,1.38E+11,1.38057E+11
67,ANCH0003,TAG00001,17,0,1,1.23E+11,1.23367E+11
68,ANCH0003,TAG00001,18,0,1,1.38E+11,1.38057E+11
69,ANCH0001,TAG00001,19,0,1,1.69E+11,1.68528E+11
70,ANCH0003,TAG00001,19,0,1,1.69E+11,1.68528E+11
71,ANCH0002,TAG00001,19,0,1,1.69E+11,1.68528E+11
72,ANCH0004,TAG00001,19,0,1,1.69E+11,1.68528E+11
73,ANCH0001,TAG00001,20,0,1,2.00E+11,1.99899E+11
74,ANCH0004,TAG00001,20,0,1,2.00E+11,1.99899E+11
75,ANCH0003,TAG00001,20,0,1,2.00E+11,1.99899E+11
76,ANCH0002,TAG00001,20,0,1,2.00E+11,1.99899E+11
77,ANCH0001,TAG00001,21,0,1,2.32E+11,2.31597E+11
78,ANCH0004,TAG00001,21,0,1,2.32E+11,2.31597E+11
79,ANCH0002,TAG00001,21,0,1,2.32E+11,2.31597E+11
80,ANCH0003,TAG00001,21,0,1,2.32E+11,2.31597E+11
81,ANCH0003,TAG00001,22,0,1,2.62E+11,2.62055E+11
82,ANCH0001,TAG00001,22,0,1,2.62E+11,2.62055E+11
83,ANCH0004,TAG00001,22,0,1,2.62E+11,2.62055E+11
84,ANCH0002,TAG00001,22,0,1,2.62E+11,2.62055E+11
85,ANCH0001,TAG00001,23,0,1,2.82E+11,2.82422E+11
86,ANCH0002,TAG00001,23,0,1,2.82E+11,2.82422E+11
87,ANCH0003,TAG00001,23,0,1,2.82E+11,2.82422E+11
88,ANCH0004,TAG00001,23,0,1,2.82E+11,2.82422E+11
89,ANCH0002,TAG00001,24,0,1,3.14E+11,3.13798E+11
90,ANCH0004,TAG00001,24,0,1,3.14E+11,3.13798E+11
91,ANCH0003,TAG00001,24,0,1,3.14E+11,3.13798E+11
92,ANCH0001,TAG00001,25,0,1,3.45E+11,3.44573E+11
93,ANCH0003,TAG00001,25,0,1,3.45E+11,3.44573E+11
94,ANCH0002,TAG00001,25,0,1,3.45E+11,3.44573E+11
95,ANCH0004,TAG00001,25,0,1,3.45E+11,3.44573E+11
96,ANCH0001,TAG00001,26,0,1,3.75E+11,3.75226E+11
97,ANCH0004,TAG00001,26,0,1,3.75E+11,3.75226E+11
98,ANCH0003,TAG00001,26,0,1,3.75E+11,3.75226E+11
99,ANCH0002,TAG00001,26,0,1,3.75E+11,3.75226E+11
100,ANCH0001,TAG00001,27,0,1,4.06E+11,4.06294E+11
101,ANCH0003,TAG00001,27,0,1,4.06E+11,4.06294E+11
102,ANCH0004,TAG00001,27,0,1,4.06E+11,4.06294E+11
103,ANCH0002,TAG00001,27,0,1,4.06E+11,4.06294E+11
104,ANCH0001,TAG00001,28,0,1,4.38E+11,4.38282E+11
105,ANCH0002,TAG00001,28,0,1,4.38E+11,4.38282E+11
106,ANCH0004,TAG00001,28,0,1,4.38E+11,4.38282E+11
107,ANCH0003,TAG00001,28,0,1,4.38E+11,4.38282E+11
108,ANCH0001,TAG00001,29,0,1,4.70E+11,4.70272E+11
109,ANCH0002,TAG00001,29,0,1,4.70E+11,4.70272E+11
110,ANCH0003,TAG00001,29,0,1,4.70E+11,4.70272E+11
111,ANCH0004,TAG00001,29,0,1,4.70E+11,4.70272E+11
112,ANCH0001,TAG00001,30,0,1,4.99E+11,4.98979E+11
113,ANCH0003,TAG00001,30,0,1,4.99E+11,4.98979E+11
114,ANCH0004,TAG00001,30,0,1,4.99E+11,4.98979E+11
115,ANCH0002,TAG00001,30,0,1,4.99E+11,4.98979E+11
116,ANCH0001,TAG00001,31,0,1,5.20E+11,5.19598E+11
117,ANCH0003,TAG00001,31,0,1,5.20E+11,5.19598E+11
118,ANCH0002,TAG00001,31,0,1,5.20E+11,5.19598E+11
119,ANCH0004,TAG00001,31,0,1,5.20E+11,5.19598E+11
120,ANCH0001,TAG00001,32,0,1,5.50E+11,5.50055E+11
121,ANCH0002,TAG00001,32,0,1,5.50E+11,5.50055E+11
122,ANCH0001,TAG00001,33,0,1,5.61E+11,5.60847E+11
123,ANCH0002,TAG00001,33,0,1,5.61E+11,5.60847E+11
124,ANCH0003,TAG00001,32,0,1,5.50E+11,5.50055E+11
125,ANCH0003,TAG00001,33,0,1,5.61E+11,5.60847E+11
126,ANCH0004,TAG00001,32,0,1,5.50E+11,5.50055E+11
127,ANCH0004,TAG00001,33,0,1,5.61E+11,5.60847E+11
128,ANCH0001,TAG00001,34,0,1,5.93E+11,5.92848E+11
129,ANCH0003,TAG00001,34,0,1,5.93E+11,5.92848E+11
130,ANCH0001,TAG00001,35,0,1,6.07E+11,6.07252E+11
131,ANCH0002,TAG00001,34,0,1,5.93E+11,5.92848E+11
132,ANCH0004,TAG00001,34,0,1,5.93E+11,5.92848E+11
133,ANCH0002,TAG00001,35,0,1,6.07E+11,6.07252E+11
134,ANCH0004,TAG00001,35,0,1,6.07E+11,6.07252E+11
135,ANCH0001,TAG00001,36,0,1,6.18E+11,6.17564E+11
